ID,Culture_code,Culture_code_Arc,Culture_name,Continent,Subsistence_type,Calendar_name,Solar_year,Solar_month,Lunar_month,Lunar_year,Lunar_week,Arbitrary_week,SY_length,LY_length,SM_length,LM_length,LW_length,AW_length,AW_extra_length,AW_supercycle_length,AW_N,Week_concept,SCCS,Sources
MF07,MF07,NA,Ancient Israelites,Middle East,Intensive Agriculturalists,Hebrew calendar,1a,0b,1a,0a,0b,1a,354,not used,not used,29,not used,7,not used,not used,1,Indigenous,Present,"Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Heaton, E. W. (1956). Everyday life in Old Testament times. Scribner. https://ehrafworldcultures.yale.edu/document?id=mf07-004

Hebrew calendar. (2026, January 29). In Wikipedia. https://en.wikipedia.org/wiki/Hebrew_calendar"
MH07,MH07,MH64,Sumerians / Babylonians,Middle East,Intensive Agriculturalists,Sumerian-Babylonian calendar,1a,0a,1a,0a,1b,0a,354,not used,not used,29,7,not used,not used,not used,0,Explicit absence,Present,"Cohen, S. (1943). Week. In I. Landman (Ed.), The Universal Jewish Encyclopedia: An authoritative and popular presentation of Jews and Judaism since the earliest times (Vol. 10, p. 482). Universal Jewish Encyclopedia.

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Kramer, S. N. (1963). The Sumerians: Their history, culture, and character. University of Chicago Press. https://ehrafarchaeology.yale.edu/document?id=mh64-004

Richards, E. G. (1999). Mapping time: The calendar and its history. Oxford University Press.

Saggs, H. W. F. (1988). The greatness that was Babylon: A survey of the ancient civilization of the Tigris-Euphrates Valley (Great Civilization Series). Sidgwick and Jackson. https://ehrafworldcultures.yale.edu/document?id=mh07-001

Sharlach, T. (2013). Calendars and counting. In H. Crawford (Ed.), The Sumerian world (pp. 305–318). Routledge. https://doi.org/10.4324/9780203096604-19

Steele, J. M. (2011). Astronomy and culture in Late Babylonian Uruk. Proceedings of the International Astronomical Union, 7(S278), 331–341."
MP14,MP14,NA,Kaffa,Africa,Intensive Agriculturalists,Kaffa calendar,1a,1a,0b,0b,0b,1a,360,not used,30,not used,not used,7,not used,not used,1,Judeo-Roman,Present,"Grühl, M. (1977). In the dominions of the Divine Emperor. In The citadel of Ethiopia: The empire of the divine emperor (pp. 167–316). AMS Press. https://ehrafworldcultures.yale.edu/document?id=mp14-001"
MR13,MR13,NA,Copts (e.g. Fellahin),Africa,Intensive Agriculturalists,Coptic calendar,1a,1a,0b,0b,0b,1b,365,not used,30,not used,not used,7,not used,not used,1,Judeo-Roman,Present,"Coptic calendar. (2026, January 30). In Wikipedia. https://en.wikipedia.org/wiki/Coptic_calendar

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press. "
MS25,MS25,NA,Tuareg,Africa,Agro-Pastoralists,Tuareg calendar,0a,0a,1a,1a,0b,1a,not used,354,not used,29,not used,7,not used,not used,1,Judeo-Roman,Present,"Benhazera, M. (1908). Six months among the Ahaggar Tuareg (A. R. Coleman, Trans.). Typographie Adolphe Jourdan. https://ehrafworldcultures.yale.edu/document?id=ms25-004

Nicolaisen, J. (1963). Ecology and culture of the pastoral Tuareg: With particular reference to the Tuareg of Ahaggar and Ayr (Nationalmuseets Skrifter, Etnografisk Række, Vol. 9). National Museum of Copenhagen. https://ehrafworldcultures.yale.edu/document?id=ms25-007"
MX03,MX03,NA,Berber,Africa,Agro-Pastoralists,"Berber (""Julian"") calendar",1a,1a,0b,0b,0b,1a,365,not used,28,not used,not used,7,not used,not used,1,Judeo-Roman,Absent,"Blanco Izaga, E. (1975). Emilio Blanco Izaga: Colonel in the Rif (D. M. Hart, Ed. & Trans.; HRAFlex Books Ethnology Series). Human Relations Area Files. https://ehrafworldcultures.yale.edu/cultures/mx03/documents/005

Coon, C. S. (1931). Tribes of the Rif (Harvard African Studies, Vol. 9). Peabody Museum of Harvard University. https://ehrafworldcultures.yale.edu/document?id=mx03-001

Lunar station. (2026, January 30). In Wikipedia. https://en.wikipedia.org/wiki/Lunar_station

Varisco, D. M. (2017). Illuminating the lunar mansions (manāzil al-qamar) in Šams al-maʿārif. Arabica, 64(3–4), 487–530. https://doi.org/10.1163/15700585-12341462

Westermarck, E. (1926). Ritual and belief in Morocco. Macmillan. https://ehrafworldcultures.yale.edu/document?id=mx03-002"
ND08,ND08,NA,Copper Inuit,North America,Hunter-gatherers,Copper inuit calendar,0a,0a,0a,0a,0a,0a,not used,not used,not used,not used,not used,not used,not used,not used,0,Explicit absence,Present,"De Coccola, R., & King, P. (1986). The incredible Eskimo: Life among the barren land Eskimo (J. Houston, Illus.). Hancock House. https://ehrafworldcultures.yale.edu/document?id=nd08-035

Jenness, D. (1959). The people of the twilight. University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=nd08-029"
NF04,NF04,NA,Assiniboine,North America,Hunter-gatherers,Assiniboine calendar,1a,0a,1a,0a,0a,0a,354,not used,not used,29,not used,not used,not used,not used,0,Explicit absence,Absent,"Denig, E. T. (1930). Indian tribes of the upper Missouri (J. N. B. Hewitt, Ed.). Government Printing Office. https://ehrafworldcultures.yale.edu/document?id=nf04-005

Kennedy, D. (1972). Recollections of an Assiniboine chief (J. R. Stevens, Ed.). McClelland and Stewart. https://ehrafworldcultures.yale.edu/document?id=nf04-014

Long, J. L. (1942). Land of Nakoda: The story of the Assiniboine Indians (M. S. Kennedy, Ed.; W. Standing, Illus.). State Publishing Company.

Long, J. L. (1961). The Assiniboines: From the accounts of the Old Ones told to First Boy (James Larpenteur Long) (M. S. Kennedy, Ed.; W. Standing, Illus.; Civilization of the American Indian Series). University of Oklahoma Press. https://ehrafworldcultures.yale.edu/document?id=nf04-016"
NG05,NG05,NA,Huron/Wendat,North America,Other Subsistence Combinations,Huron/Wendat calendar,1a,0b,1a,0a,0b,0a,354,not used,not used,29,not used,not used,not used,not used,0,Explicit absence,Present,"Kinietz, W. V. (1940). Huron. In The Indians of the western Great Lakes, 1615–1760 (pp. 1–160). University of Michigan Press. https://ehrafworldcultures.yale.edu/document?id=ng05-005"
NG06,NG06,NA,Ojibwa (Northern Salteaux),North America,Hunter-gatherers,Ojibwa calendar,0b,0b,0b,0b,0b,0b,not used,not used,not used,not used,not used,not used,not used,not used,0,Absence,Present,"Densmore, F. (1929). Chippewa customs (Bureau of American Ethnology Bulletin No. 86). U.S. Government Printing Office. https://ehrafworldcultures.yale.edu/document?id=ng06-005

Hallowell, A. I. (1937). Temporal orientation in western civilization and in a pre-literate society. American Anthropologist, 39(4), 647–670.

Hallowell, A. I. (2004). The Ojibwa of Berens River, Manitoba: Ethnography into history (Case Studies in Cultural Anthropology). Wadsworth. https://ehrafworldcultures.yale.edu/document?id=ng06-058

Hilger, M. I. (1951). Chippewa child life and its cultural background (Bureau of American Ethnology Bulletin No. 146). U.S. Government Printing Office. https://ehrafworldcultures.yale.edu/document?id=ng06-015"
